db,table-type, statement, rows count, insert, update, upsert, cond-upsert
postgresql,null,ps.update, 1000, 4665, 4866, 0, 5046
postgresql,pk,ps.update, 1000, 4781, 5398, 4607, 4815
postgresql,int.index,ps.update, 1000, 4663, 5196, 4980, 4750
postgresql,str.index,ps.update, 1000, 4680, 5152, 5483, 5151
postgresql,null,ps.batch, 1000, 58, 213, 0, 276
postgresql,pk,ps.batch, 1000, 33, 39, 47, 65
postgresql,int.index,ps.batch, 1000, 39, 43, 47, 64
postgresql,str.index,ps.batch, 1000, 42, 132, 49, 236
postgresql,null,st.update, 1000, 4762, 5211, 0, 5777
postgresql,pk,st.update, 1000, 5212, 5048, 4881, 5222
postgresql,int.index,st.update, 1000, 5933, 4971, 4908, 5300
postgresql,str.index,st.update, 1000, 5881, 4963, 5203, 5313
postgresql,null,batch.update, 1000, 84, 154, 0, 297
postgresql,pk,batch.update, 1000, 74, 102, 88, 176
postgresql,int.index,batch.update, 1000, 71, 119, 92, 185
postgresql,str.index,batch.update, 1000, 83, 161, 97, 338
postgresql,null,script.update, 1000, 84, 166, 0, 488
postgresql,pk,script.update, 1000, 81, 95, 111, 228
postgresql,int.index,script.update, 1000, 70, 97, 108, 233
postgresql,str.index,script.update, 1000, 67, 173, 98, 409
mysql,null,ps.update, 1000, 24793, 29893, 0, 31424
mysql,pk,ps.update, 1000, 26747, 28715, 28251, 26739
mysql,int.index,ps.update, 1000, 25325, 25931, 25311, 25097
mysql,str.index,ps.update, 1000, 24690, 28676, 25944, 28458
mysql,null,ps.batch, 1000, 325, 28887, 0, 28006
mysql,pk,ps.batch, 1000, 284, 23910, 23729, 24734
mysql,int.index,ps.batch, 1000, 397, 25037, 25243, 25468
mysql,str.index,ps.batch, 1000, 360, 28702, 24652, 27476
mysql,null,st.update, 1000, 24258, 27486, 0, 27428
mysql,pk,st.update, 1000, 24184, 25323, 24365, 24953
mysql,int.index,st.update, 1000, 23435, 24285, 26030, 24778
mysql,str.index,st.update, 1000, 23795, 29194, 25686, 29141
mysql,null,batch.update, 1000, 23102, 27125, 0, 27486
mysql,pk,batch.update, 1000, 23193, 24648, 24093, 23734
mysql,int.index,batch.update, 1000, 24757, 25268, 25179, 25006
mysql,str.index,batch.update, 1000, 24315, 26829, 25533, 27853
